	
%.2fx	%.2fx
%@	%@
%@ %@	%1$@ %2$@
%@ %@ (%@)	%1$@ %2$@ (%3$@)
%@ Automatically created	%@ Automatically created
%@ Episodes	%@ Episodes
%@ New Episodes	%@ New Episodes
%@ Settings	%@ Settings
%@ Unplayed	%@ Unplayed
%@ Unplayed Episodes	%@ Unplayed Episodes
%@ episodes	%@ episodes
%@ episodes in the feed	%@ episodes in the feed
%@ in Apple Podcasts	%@ in Apple Podcasts
%@ in Library	%@ in Library
%@ is not available	%@ is not available
%@ left	%@ left
%@ new episodes	%@ new episodes
%@ of %@	%1$@ of %2$@
%@ podcasts	%@ podcasts
%@ remaining	%@ remaining
%@ saved episodes	%@ saved episodes
%@ stations	%@ stations
%@ unplayed	%@ unplayed
%@ unplayed episodes	%@ unplayed episodes
ALERT_MESSAGE_RESTRICTED	Screen Time does not allow explicit content.
ALERT_TITLE_AIRPLANE_MODE_WIFI	Turn Off Airplane Mode or Use Wi-Fi to Access Data
ALERT_TITLE_AIRPLANE_MODE_WLAN	Turn Off Airplane Mode or Use WLAN to Access Data
ALERT_TITLE_GLOBAL_CELLULAR_DISABLED	Cellular Data is Turned Off
ALERT_TITLE_NO_INTERNET	Your Device Is Not Connected to the Internet
ALERT_TITLE_RESTRICTED	Content Not Allowed
ALL_CAUGHT_UP	You’re all caught up.
ALL_EPISODES_ACTION_TITLE	See All Episodes
ALL_EPISODES_SECTION_TITLE	All Episodes
ALL_SEASONS	All Seasons
ALL_STATIONS	All Stations
ALL_UNPLAYED_BACK	All Unplayed
APPLE_PODCASTS_ONBOARDING_BUTTON_TITLE	Get Started
APPLE_PODCASTS_ONBOARDING_MESSAGE	Ask Siri or use search to play and follow shows.
APP_LOCATION_TYPE_NAME	Location
ASK_SIRI_OR_USE_SEARCH_MESSAGE	Ask Siri or use Search to follow shows.
AUTHENTICATION_MESSAGE	To keep getting updates for this podcast, sign in with your name and password for %@.
AUTHENTICATION_SIGNIN	Sign In
AUTHENTICATION_TITLE	Sign-In Required
AUTH_SIGNIN_ALERT_SUBTITLE	Your Apple Account or password is incorrect.
AUTH_SIGNIN_ALERT_TITLE	Verification Failed
AUTODOWNLOAD_FOOTER_MACOS	Listen to new episodes offline with automatic downloads, and limit how many are kept on this Mac. Episodes you saved or manually downloaded will not be removed. %@
AUTOMATICALLY_DOWNLOAD	Automatically Download
AUTOMATICALLY_DOWNLOAD_HEADER	Automatically Download
AUTOMATICALLY_GENERATED	Automatically transcribed
AUTOMATIC_DOWNLOADS	Automatic Downloads
AUTOMATIC_DOWNLOADS_FOOTER	Enable automatic downloads when following a show so you can play episodes offline.
AUTOMATIC_DOWNLOADS_OFF	Off
AUTOMATIC_DOWNLOADS_TITLE	Automatic Downloads
AUTOMATIC_DOWNLOAD_BUTTON	Automatically Download…
AUTO_DOWNLOADS_PAUSED	You haven’t listened in a while.
Automatic Downloads are paused.
